Well Name,Pred_by 7in,Pred_by 10in,Pred_by 13in,Summary
Well-6,39.9,72,0,56.0
Well-298,15.2,39.5,0,27.4
Well-228,26.1,0,0,26.1
Well-14,22.6,0,0,22.6
Well-44,33.4,13.6,19.9,22.3
Well-21,52.2,5.4,9.4,22.3
Well-227,21.2,0,0,21.2
Well-385,0,0,19.3,19.3
Well-315,12.8,25.1,0,19.0
Well-18,0,18.9,0,18.9
Well-5,12.4,24.7,0,18.6
Well-186,28.8,15.8,10,18.2
Well-332,10.9,25.4,0,18.2
Well-224,14.9,21.5,0,18.2
Well-210,14.1,21.1,0,17.6
Well-212,13.2,21.9,0,17.6
Well-287,17.4,0,0,17.4
Well-66,10.9,23.4,0,17.2
Well-204,11.6,22,0,16.8
